"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;3;12;15;30;1,2;3,8;83,1;186,1;17,9;-0,1;-6999;0,0;-6999;
2005;3;12;15;45;1,3;3,8;83,8;235,6;18,0;-0,1;-6999;0,0;-6999;
2005;3;12;16;00;1,1;3,8;82,7;192,9;19,3;-0,1;-6999;0,0;-6999;
2005;3;12;16;15;1,2;3,8;82,9;104,4;19,0;-0,1;-6999;0,0;-6999;
2005;3;12;16;30;1,3;3,3;86,5;53,8;19,9;-0,1;-6999;0,0;-6999;
2005;3;12;16;45;1,3;2,8;89,8;57,8;18,5;-0,1;-6999;0,0;-6999;
2005;3;12;17;00;1,2;2,5;91,4;42,1;16,2;-0,1;-6999;0,0;-6999;
2005;3;12;17;15;1,2;2,3;92,2;28,4;15,4;-0,1;-6999;0,0;-6999;
2005;3;12;17;30;1,1;2,2;92,5;14,9;12,2;-0,1;-6999;0,0;-6999;
2005;3;12;17;45;1,0;2,3;90,9;5,4;13,9;-0,1;-6999;0,0;-6999;
2005;3;12;18;00;0,7;2,1;90,4;1,9;14,6;-0,1;-6999;0,0;-6999;
2005;3;12;18;15;0,7;2,1;90,5;0,1;12,1;-0,1;-6999;0,0;-6999;
2005;3;12;18;30;0,4;2,3;87,4;0,0;12,0;-0,1;-6999;0,0;-6999;
2005;3;12;18;45;0,0;2,2;85,6;0,0;14,3;-0,1;-6999;0,0;-6999;
2005;3;12;19;00;0,0;2,1;86,2;0,2;11,6;-0,1;-6999;0,0;-6999;
2005;3;12;19;15;-0,0;1,9;87,2;0,1;11,2;-0,1;-6999;0,0;-6999;
2005;3;12;19;30;-0,1;1,8;87,5;0,1;11,5;-0,1;-6999;0,0;-6999;
2005;3;12;19;45;-0,1;1,9;86,4;0,1;13,8;-0,1;-6999;0,0;-6999;
2005;3;12;20;00;-0,3;2,0;84,5;0,0;13,8;-0,1;-6999;0,0;-6999;
2005;3;12;20;15;-0,5;2,0;83,4;-0,1;16,8;-0,1;-6999;0,0;-6999;
2005;3;12;20;30;-0,7;1,9;83,0;-0,1;19,2;-0,1;-6999;0,0;-6999;
2005;3;12;20;45;-0,8;1,7;83,7;-0,1;21,5;-0,1;-6999;0,0;-6999;
2005;3;12;21;00;-0,8;1,7;83,2;-0,2;21,9;-0,1;-6999;0,0;-6999;
2005;3;12;21;15;-1,2;1,6;81,9;0,0;20,6;-0,1;-6999;0,0;-6999;
2005;3;12;21;30;-1,2;1,6;81,6;0,2;20,4;-0,1;-6999;0,0;-6999;
2005;3;12;21;45;-1,2;1,6;81,8;-0,1;19,9;-0,1;-6999;0,0;-6999;
2005;3;12;22;00;-1,1;1,6;82,0;0,1;20,7;-0,1;-6999;0,0;-6999;
2005;3;12;22;15;-1,1;1,5;82,8;0,1;20,8;-0,1;-6999;0,0;-6999;
2005;3;12;22;30;-1,2;1,4;82,7;0,2;20,5;-0,2;-6999;0,0;-6999;
2005;3;12;22;45;-1,2;1,4;82,8;0,1;25,3;-0,2;-6999;0,0;-6999;
2005;3;12;23;00;-1,7;1,6;78,8;0,2;30,7;-0,1;-6999;0,0;-6999;
2005;3;12;23;15;-1,9;1,6;77,7;0,1;30,7;-0,1;-6999;0,0;-6999;
2005;3;12;23;30;-1,8;1,4;79,3;0,1;30,1;-0,2;-6999;0,0;-6999;
2005;3;12;23;45;-1,6;1,4;80,2;0,2;29,7;-0,2;-6999;0,0;-6999;
2005;3;12;24;00;-1,3;1,5;81,4;0,1;27,2;-0,2;-6999;0,0;-6999;
2005;3;13;00;15;-1,3;1,4;82,3;0,2;22,7;-0,1;-6999;0,0;-6999;
2005;3;13;00;30;-1,3;1,4;82,1;0,2;20,3;-0,1;-6999;0,0;-6999;
2005;3;13;00;45;-1,4;1,4;81,5;0,1;22,9;-0,1;-6999;0,0;-6999;
2005;3;13;01;00;-1,7;1,4;79,6;0,2;21,2;-0,1;-6999;0,0;-6999;
2005;3;13;01;15;-1,9;1,5;78,0;0,3;20,4;-0,1;-6999;0,0;-6999;
2005;3;13;01;30;-2,0;1,5;77,8;0,3;22,3;-0,2;-6999;0,0;-6999;
2005;3;13;01;45;-2,0;1,5;77,6;0,2;24,8;-0,1;-6999;0,0;-6999;
2005;3;13;02;00;-2,0;1,6;76,8;0,2;23,7;-0,2;-6999;0,0;-6999;
2005;3;13;02;15;-2,2;1,6;76,1;0,1;29,4;-0,1;-6999;0,0;-6999;
2005;3;13;02;30;-2,2;1,6;75,9;0,2;29,6;-0,1;-6999;0,0;-6999;
2005;3;13;02;45;-2,2;1,7;75,4;0,2;29,9;-0,2;-6999;0,0;-6999;
2005;3;13;03;00;-2,1;1,6;76,2;0,1;32,9;-0,1;-6999;0,0;-6999;
2005;3;13;03;15;-2,1;1,5;76,8;0,2;32,8;-0,1;-6999;0,0;-6999;
2005;3;13;03;30;-1,9;1,6;77,5;0,1;33,5;-0,1;-6999;0,0;-6999;
2005;3;13;03;45;-2,1;1,4;77,5;0,1;32,7;-0,1;-6999;0,0;-6999;
2005;3;13;04;00;-2,2;1,4;76,8;0,1;32,3;-0,1;-6999;0,0;-6999;
2005;3;13;04;15;-2,3;1,4;76,4;0,1;30,8;-0,2;-6999;0,0;-6999;
2005;3;13;04;30;-2,3;1,4;76,4;0,1;28,4;-0,1;-6999;0,0;-6999;
2005;3;13;04;45;-2,4;1,4;75,7;0,0;24,6;-0,2;-6999;0,0;-6999;
2005;3;13;05;00;-2,6;1,4;74,8;0,2;27,6;-0,1;-6999;0,0;-6999;
2005;3;13;05;15;-2,4;1,4;75,6;0,0;25,6;-0,2;-6999;0,0;-6999;
2005;3;13;05;30;-2,5;1,3;76,0;0,1;27,7;-0,2;-6999;0,0;-6999;
2005;3;13;05;45;-2,4;1,2;76,9;0,1;27,7;-0,2;-6999;0,0;-6999;
2005;3;13;06;00;-2,2;1,2;78,0;0,3;26,7;-0,2;-6999;0,0;-6999;
2005;3;13;06;15;-2,1;1,1;79,4;2,2;26,7;-0,1;-6999;0,0;-6999;
2005;3;13;06;30;-1,8;0,9;81,9;10,8;23,8;-0,1;-6999;0,0;-6999;
