"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;4;2;01;15;-3,9;4,3;55,3;0,1;1,4;238,5;-6999;0,0;1000,0
2005;4;2;01;30;-3,3;3,7;60,0;0,0;0,0;55,4;-6999;0,0;1000,0
2005;4;2;01;45;-2,9;3,6;62,7;0,3;0,0;231,1;-6999;0,0;1000,0
2005;4;2;02;00;-3,0;4,6;57,7;0,3;0,0;341,0;-6999;0,0;1000,0
2005;4;2;02;15;-3,0;5,0;56,1;0,2;0,0;360,4;-6999;0,0;1000,0
2005;4;2;02;30;-3,5;5,2;53,5;0,3;0,0;339,2;-6999;0,0;1000,0
2005;4;2;02;45;-3,7;5,1;52,8;0,3;0,0;302,8;-6999;0,0;1000,0
2005;4;2;03;00;-4,2;4,9;51,6;0,4;0,0;331,5;-6999;0,0;1000,0
2005;4;2;03;15;-4,4;4,5;52,4;0,4;0,0;327,2;-6999;0,0;1000,0
2005;4;2;03;30;-4,4;4,6;51,9;0,3;0,0;343,1;-6999;0,0;1000,0
2005;4;2;03;45;-4,4;4,3;53,0;0,2;0,0;299,4;-6999;0,0;1000,0
2005;4;2;04;00;-4,6;4,0;53,4;0,3;0,0;354,3;-6999;0,0;1000,0
2005;4;2;04;15;-4,7;4,0;53,1;0,1;0,0;347,6;-6999;0,0;1000,0
2005;4;2;04;30;-4,3;4,3;53,4;-0,1;0,0;78,6;-6999;0,0;1000,0
2005;4;2;04;45;-4,7;3,5;55,0;0,3;0,0;272,6;-6999;0,0;1000,0
2005;4;2;05;00;-4,8;3,4;55,0;0,3;0,0;335,0;-6999;0,0;1000,0
2005;4;2;05;15;-4,9;3,1;55,5;0,7;0,0;335,0;-6999;0,0;1000,0
2005;4;2;05;30;-5,0;3,1;55,3;2,2;0,0;336,0;-6999;0,0;1000,0
2005;4;2;05;45;-5,2;3,0;55,0;6,9;0,0;236,9;-6999;0,0;1000,0
2005;4;2;06;00;-5,3;2,9;55,0;24,8;0,0;342,4;-6999;0,0;1000,0
2005;4;2;06;15;-5,4;2,9;54,4;55,4;0,1;207,4;-6999;0,0;1000,0
2005;4;2;06;30;-5,2;3,4;53,2;92,3;0,3;120,6;-6999;0,0;1000,0
2005;4;2;06;45;-4,9;3,7;53,3;133,3;1,1;99,8;-6999;0,0;1000,0
2005;4;2;07;00;-4,4;3,8;54,9;177,7;1,3;101,2;-6999;0,0;1000,0
2005;4;2;07;15;-4,6;3,8;54,2;224,4;2,0;111,8;-6999;0,0;1000,0
2005;4;2;07;30;-4,4;4,3;53,0;271,9;0,5;97,7;-6999;0,0;1000,0
2005;4;2;07;45;-4,4;4,2;53,6;318,7;4,2;108,3;-6999;0,0;1001,0
2005;4;2;08;00;-4,3;4,4;53,2;364,7;2,8;123,0;-6999;0,0;1001,0
2005;4;2;08;15;-3,8;4,8;53,8;408,4;3,2;108,4;-6999;0,0;1001,0
2005;4;2;08;30;-3,8;5,1;52,5;451,9;3,4;117,8;-6999;0,0;1001,0
2005;4;2;08;45;-3,5;6,1;50,2;493,8;0,4;140,2;-6999;0,0;1001,0
2005;4;2;09;00;-3,5;6,1;50,2;531,7;3,9;131,5;-6999;0,0;1001,0
2005;4;2;09;15;-3,0;6,5;50,5;565,0;4,8;136,2;-6999;0,0;1001,0
2005;4;2;09;30;-2,6;7,1;50,0;593,9;4,1;137,9;-6999;0,0;1001,0
2005;4;2;09;45;-2,3;7,4;50,1;626,0;4,8;126,2;-6999;0,0;1001,0
2005;4;2;10;00;-1,8;8,3;48,8;652,7;2,6;158,7;-6999;0,0;1001,0
2005;4;2;10;15;-1,5;8,8;48,5;668,9;5,6;130,8;-6999;0,0;1001,0
2005;4;2;10;30;-1,1;9,4;47,8;692,7;5,5;151,5;-6999;0,0;1000,0
2005;4;2;10;45;-0,7;9,9;47,5;711,0;6,2;146,3;-6999;0,0;1000,0
2005;4;2;11;00;-1,3;11,0;42,4;733,0;6,1;163,5;-6999;0,0;1000,0
2005;4;2;11;15;-1,7;11,4;40,1;731,0;8,1;160,6;-6999;0,0;1000,0
2005;4;2;11;30;-1,8;11,7;38,9;756,0;8,4;161,0;-6999;0,0;1000,0
2005;4;2;11;45;-2,2;11,8;37,7;762,0;10,8;151,2;-6999;0,0;1000,0
2005;4;2;12;00;-2,6;12,1;35,8;774,0;9,9;153,0;-6999;0,0;1000,0
2005;4;2;12;15;-3,1;11,9;35,0;771,0;10,5;154,1;-6999;0,0;1000,0
